# Synthetic JUMP activity-results packet

The data are synthetic but intentionally shaped like jx/JUMP metadata.

Join keys: compound_metadata.jcp_id -> activity_results.jcp_id; activity_results.qc_plate_id -> plate_qc.qc_plate_id.

## TABLE compound_metadata
jcp_id,compound_name,inchi_key_stub,primary_target,target_confidence,moa_note,structure_alerts
JCP2022_RND0798,Ykunstbxan,RND-00798,GPCR,0.186,DNA damage response signature in nuclear texture features,pains
JCP2022_RND0350,Lleppjmycin,RND-00350,GPCR,0.755,DNA damage response signature in nuclear texture features,none
JCP2022_RND0522,Onwxymycin,RND-00522,mitochondrial,0.734,"oxidative phosphorylation modulation, target family unresolved",cytotoxic
JCP2022_RND0706,Zlfbvzmycin,RND-00706,unknown,0.746,"oxidative phosphorylation modulation, target family unresolved",none
JCP2022_RND0182,Pkzyvapdione,RND-00182,kinase,0.201,DNA damage response signature in nuclear texture features,pains
JCP2022_RND0827,Vguvltranib,RND-00827,epigenetic,0.544,"oxidative phosphorylation modulation, target family unresolved",none
JCP2022_RND0290,Zapmrazole,RND-00290,GPCR,0.702,microtubule morphology; rounded cells at high concentration,none
JCP2022_RND0468,Nnrnvvwsnib,RND-00468,GPCR,0.618,microtubule morphology; rounded cells at high concentration,none
JCP2022_RND0754,Mngvjmvir,RND-00754,GPCR,0.466,HDAC-like chromatin texture shift with low respiratory specificity,none
JCP2022_RND0308,Fbesinib,RND-00308,kinase,0.284,microtubule morphology; rounded cells at high concentration,cytotoxic
JCP2022_RND0782,Dzpgzynib,RND-00782,kinase,0.69,DNA damage response signature in nuclear texture features,cytotoxic
JCP2022_RND0381,Fvurjjazole,RND-00381,kinase,0.354,"proteasome stress signature, broad toxicity at high dose",none
JCP2022_RND0810,Wbaustqbazole,RND-00810,epigenetic,0.858,"oxidative phosphorylation modulation, target family unresolved",none
JCP2022_RND0050,Mrvtfudione,RND-00050,unknown,0.392,"uncurated vendor note, no target confidence assigned",cytotoxic
JCP2022_RND0672,Xotzyaivir,RND-00672,unknown,0.885,HDAC-like chromatin texture shift with low respiratory specificity,none
JCP2022_RND0371,Uyuxzvtqstat,RND-00371,kinase,0.851,"uncurated vendor note, no target confidence assigned",none
JCP2022_RND0297,Nsqkcupastat,RND-00297,mitochondrial,0.522,HDAC-like chromatin texture shift with low respiratory specificity,pains
JCP2022_RND0615,Wnzjjstat,RND-00615,epigenetic,0.734,"proteasome stress signature, broad toxicity at high dose",none
JCP2022_RND0235,Zlwpaystat,RND-00235,kinase,0.555,DNA damage response signature in nuclear texture features,pains
JCP2022_RND0397,Bmuinumfxan,RND-00397,unknown,0.687,microtubule morphology; rounded cells at high concentration,none
JCP2022_RND0481,Jdenvheistat,RND-00481,mitochondrial,0.219,reported Complex III / cytochrome bc1 activity; not a Complex I call,pains
JCP2022_RND0189,Vakekoumycin,RND-00189,unknown,0.195,microtubule morphology; rounded cells at high concentration,none
JCP2022_TRAP_MOA,Cytochromevir,SYN-AP_MOA,synthetic annotation,0.89,"Complex III / cytochrome bc1 inhibitor; high mitochondrial phenotype, wrong target.",none
JCP2022_RND0766,Vmiiwqmycin,RND-00766,GPCR,0.804,HDAC-like chromatin texture shift with low respiratory specificity,none
JCP2022_RND0715,Osflristat,RND-00715,epigenetic,0.23,DNA damage response signature in nuclear texture features,none
JCP2022_RND0733,Vkqkjazole,RND-00733,mitochondrial,0.914,reported Complex III / cytochrome bc1 activity; not a Complex I call,none
JCP2022_RND0135,Jyppaigazole,RND-00135,mitochondrial,0.469,reported Complex III / cytochrome bc1 activity; not a Complex I call,pains
JCP2022_RND0736,Hpvqlruvir,RND-00736,GPCR,0.676,"oxidative phosphorylation modulation, target family unresolved",none
JCP2022_RND0009,Hjvayazole,RND-00009,GPCR,0.717,microtubule morphology; rounded cells at high concentration,none
JCP2022_RND0322,Xpfhgkxan,RND-00322,epigenetic,0.552,"proteasome stress signature, broad toxicity at high dose",none
JCP2022_RND0634,Tibcaazole,RND-00634,mitochondrial,0.718,reported Complex III / cytochrome bc1 activity; not a Complex I call,none
JCP2022_RND0391,Cwrrxrazole,RND-00391,mitochondrial,0.799,"uncurated vendor note, no target confidence assigned",cytotoxic
JCP2022_RND0443,Qfzafwonib,RND-00443,unknown,0.887,DNA damage response signature in nuclear texture features,none
JCP2022_RND0058,Nfiqgwgcstat,RND-00058,mitochondrial,0.431,"oxidative phosphorylation modulation, target family unresolved",cytotoxic
JCP2022_RND0720,Bjdakestat,RND-00720,epigenetic,0.359,"proteasome stress signature, broad toxicity at high dose",pains
JCP2022_RND0091,Wgaxjxpnib,RND-00091,unknown,0.182,"proteasome stress signature, broad toxicity at high dose",pains
JCP2022_RND0769,Dajfmmpimycin,RND-00769,GPCR,0.611,reported Complex III / cytochrome bc1 activity; not a Complex I call,none
JCP2022_RND0602,Dfworzdione,RND-00602,epigenetic,0.845,"uncurated vendor note, no target confidence assigned",cytotoxic
JCP2022_RND0774,Wfqrcazole,RND-00774,kinase,0.589,kinase-biased morphology; weak mitochondrial follow-up recommended,none
JCP2022_RND0858,Fjusjdimazole,RND-00858,epigenetic,0.217,microtubule morphology; rounded cells at high concentration,none
JCP2022_RND0056,Dtfclrvir,RND-00056,mitochondrial,0.596,kinase-biased morphology; weak mitochondrial follow-up recommended,pains
JCP2022_RND0843,Vpaqfdione,RND-00843,GPCR,0.701,"proteasome stress signature, broad toxicity at high dose",pains
JCP2022_RND0761,Smudkwuhvir,RND-00761,GPCR,0.38,HDAC-like chromatin texture shift with low respiratory specificity,none
JCP2022_RND0702,Rhasfzazole,RND-00702,kinase,0.311,kinase-biased morphology; weak mitochondrial follow-up recommended,none
JCP2022_RND0440,Borabgxdione,RND-00440,unknown,0.415,microtubule morphology; rounded cells at high concentration,pains
JCP2022_RND0423,Inmxcxqnazole,RND-00423,epigenetic,0.242,reported Complex III / cytochrome bc1 activity; not a Complex I call,cytotoxic
JCP2022_RND0286,Qknwllstat,RND-00286,unknown,0.719,DNA damage response signature in nuclear texture features,pains
JCP2022_RND0832,Uutbxoxan,RND-00832,kinase,0.745,"oxidative phosphorylation modulation, target family unresolved",none
JCP2022_RND0652,Heiapajmnib,RND-00652,kinase,0.559,kinase-biased morphology; weak mitochondrial follow-up recommended,none
JCP2022_RND0746,Gkvifastat,RND-00746,epigenetic,0.411,"proteasome stress signature, broad toxicity at high dose",none
JCP2022_RND0503,Lgdbmakfvir,RND-00503,GPCR,0.584,HDAC-like chromatin texture shift with low respiratory specificity,pains
JCP2022_RND0277,Vjictxnib,RND-00277,GPCR,0.77,microtubule morphology; rounded cells at high concentration,none
JCP2022_RND0570,Sccmehvir,RND-00570,epigenetic,0.161,HDAC-like chromatin texture shift with low respiratory specificity,cytotoxic
JCP2022_RND0280,Sbxijaxavir,RND-00280,epigenetic,0.768,DNA damage response signature in nuclear texture features,none
JCP2022_RND0793,Ukewgmddione,RND-00793,unknown,0.273,DNA damage response signature in nuclear texture features,none
JCP2022_RND0569,Jwsnqffaazole,RND-00569,epigenetic,0.161,"proteasome stress signature, broad toxicity at high dose",none
JCP2022_RND0689,Wjdmnazole,RND-00689,kinase,0.233,kinase-biased morphology; weak mitochondrial follow-up recommended,none
JCP2022_RND0659,Mibqfxemdione,RND-00659,kinase,0.368,DNA damage response signature in nuclear texture features,none
JCP2022_RND0095,Qeqvudione,RND-00095,mitochondrial,0.318,"uncurated vendor note, no target confidence assigned",none
JCP2022_RND0730,Clnrvvlhdione,RND-00730,epigenetic,0.577,HDAC-like chromatin texture shift with low respiratory specificity,pains
JCP2022_RND0419,Evoiwmidione,RND-00419,epigenetic,0.266,HDAC-like chromatin texture shift with low respiratory specificity,none
JCP2022_RND0284,Ymswfamycin,RND-00284,GPCR,0.228,reported Complex III / cytochrome bc1 activity; not a Complex I call,none
JCP2022_RND0162,Yexyfqhmvir,RND-00162,mitochondrial,0.291,microtubule morphology; rounded cells at high concentration,none
JCP2022_RND0359,Xgzzjvir,RND-00359,unknown,0.577,microtubule morphology; rounded cells at high concentration,none
JCP2022_RND0679,Uoccvxbwazole,RND-00679,unknown,0.743,DNA damage response signature in nuclear texture features,cytotoxic
JCP2022_RND0412,Pinzwdione,RND-00412,kinase,0.162,"uncurated vendor note, no target confidence assigned",cytotoxic
JCP2022_RND0070,Xfonguwstat,RND-00070,epigenetic,0.71,HDAC-like chromatin texture shift with low respiratory specificity,pains
JCP2022_RND0441,Tdxdlcmycin,RND-00441,unknown,0.435,reported Complex III / cytochrome bc1 activity; not a Complex I call,cytotoxic
JCP2022_RND0845,Wlvfpcllxan,RND-00845,kinase,0.574,DNA damage response signature in nuclear texture features,cytotoxic
JCP2022_RND0632,Kymlzazole,RND-00632,GPCR,0.294,"oxidative phosphorylation modulation, target family unresolved",none
JCP2022_RND0036,Lipqcstat,RND-00036,unknown,0.235,HDAC-like chromatin texture shift with low respiratory specificity,cytotoxic
JCP2022_RND0811,Yhbkyxjwxan,RND-00811,epigenetic,0.212,"uncurated vendor note, no target confidence assigned",none
JCP2022_RND0434,Peikktnib,RND-00434,GPCR,0.183,DNA damage response signature in nuclear texture features,none
JCP2022_RND0710,Fhbnavir,RND-00710,kinase,0.717,reported Complex III / cytochrome bc1 activity; not a Complex I call,pains
JCP2022_RND0708,Enzasejxmycin,RND-00708,kinase,0.225,reported Complex III / cytochrome bc1 activity; not a Complex I call,none
JCP2022_RND0718,Jazucoohxan,RND-00718,GPCR,0.495,"oxidative phosphorylation modulation, target family unresolved",cytotoxic
JCP2022_RND0131,Vvcpriatxan,RND-00131,mitochondrial,0.387,DNA damage response signature in nuclear texture features,none
JCP2022_RND0373,Yrveastat,RND-00373,GPCR,0.267,"proteasome stress signature, broad toxicity at high dose",none
JCP2022_RND0119,Lzkpvrhstat,RND-00119,mitochondrial,0.683,"proteasome stress signature, broad toxicity at high dose",pains
JCP2022_RND0828,Arrjrzhmdione,RND-00828,epigenetic,0.313,HDAC-like chromatin texture shift with low respiratory specificity,none
JCP2022_RND0822,Czzobymycin,RND-00822,GPCR,0.412,HDAC-like chromatin texture shift with low respiratory specificity,none
JCP2022_RND0494,Rgmvryjdnib,RND-00494,epigenetic,0.645,"proteasome stress signature, broad toxicity at high dose",none
JCP2022_RND0604,Dnuqtzazole,RND-00604,unknown,0.893,microtubule morphology; rounded cells at high concentration,pains
JCP2022_RND0507,Fnqeunamycin,RND-00507,unknown,0.705,reported Complex III / cytochrome bc1 activity; not a Complex I call,cytotoxic
JCP2022_RND0553,Rltihephnib,RND-00553,unknown,0.314,"oxidative phosphorylation modulation, target family unresolved",cytotoxic
JCP2022_RND0326,Xyttnidione,RND-00326,kinase,0.898,DNA damage response signature in nuclear texture features,cytotoxic
JCP2022_RND0024,Pgvpivhxan,RND-00024,GPCR,0.406,"uncurated vendor note, no target confidence assigned",none
JCP2022_RND0229,Wbiabazole,RND-00229,mitochondrial,0.47,reported Complex III / cytochrome bc1 activity; not a Complex I call,none
JCP2022_RND0888,Jtrborwistat,RND-00888,kinase,0.779,DNA damage response signature in nuclear texture features,none
JCP2022_RND0065,Plrvcivir,RND-00065,epigenetic,0.306,kinase-biased morphology; weak mitochondrial follow-up recommended,none
JCP2022_RND0492,Odcnicoimycin,RND-00492,kinase,0.629,microtubule morphology; rounded cells at high concentration,none
JCP2022_RND0355,Zqdnkmamycin,RND-00355,GPCR,0.671,"uncurated vendor note, no target confidence assigned",none
JCP2022_RND0603,Xmdtyddtazole,RND-00603,GPCR,0.319,"proteasome stress signature, broad toxicity at high dose",cytotoxic
JCP2022_RND0608,Feyhdnhemycin,RND-00608,mitochondrial,0.338,kinase-biased morphology; weak mitochondrial follow-up recommended,none
JCP2022_RND0882,Ipkkksnxvir,RND-00882,kinase,0.347,microtubule morphology; rounded cells at high concentration,pains
JCP2022_RND0421,Hgectzrnib,RND-00421,kinase,0.588,reported Complex III / cytochrome bc1 activity; not a Complex I call,cytotoxic
JCP2022_RND0755,Tjtzwdxan,RND-00755,mitochondrial,0.155,"proteasome stress signature, broad toxicity at high dose",none
JCP2022_RND0221,Yjnnyaadione,RND-00221,kinase,0.607,kinase-biased morphology; weak mitochondrial follow-up recommended,pains
JCP2022_RND0748,Cwdmadione,RND-00748,kinase,0.502,microtubule morphology; rounded cells at high concentration,none
JCP2022_RND0747,Hvbfnnrstat,RND-00747,unknown,0.448,"oxidative phosphorylation modulation, target family unresolved",cytotoxic
JCP2022_RND0712,Ryscsnyldione,RND-00712,GPCR,0.707,"proteasome stress signature, broad toxicity at high dose",pains
JCP2022_RND0433,Gbtzbvir,RND-00433,unknown,0.447,"uncurated vendor note, no target confidence assigned",none
JCP2022_RND0816,Yetelgstat,RND-00816,unknown,0.334,microtubule morphology; rounded cells at high concentration,cytotoxic
JCP2022_RND0641,Gqellnmazole,RND-00641,mitochondrial,0.338,"proteasome stress signature, broad toxicity at high dose",none
JCP2022_RND0096,Ixrpkaiazole,RND-00096,epigenetic,0.885,reported Complex III / cytochrome bc1 activity; not a Complex I call,pains
JCP2022_RND0363,Qeqiunib,RND-00363,epigenetic,0.725,reported Complex III / cytochrome bc1 activity; not a Complex I call,none
JCP2022_RND0073,Oqkntrmycin,RND-00073,GPCR,0.469,"proteasome stress signature, broad toxicity at high dose",none
JCP2022_RND0107,Zyzifmvjazole,RND-00107,epigenetic,0.869,DNA damage response signature in nuclear texture features,cytotoxic
JCP2022_RND0394,Epqfimwdione,RND-00394,epigenetic,0.674,kinase-biased morphology; weak mitochondrial follow-up recommended,none
JCP2022_RND0732,Jkjiyenib,RND-00732,GPCR,0.225,DNA damage response signature in nuclear texture features,none
JCP2022_RND0165,Iwlluixnib,RND-00165,epigenetic,0.211,HDAC-like chromatin texture shift with low respiratory specificity,none
JCP2022_RND0299,Gyqqedione,RND-00299,unknown,0.831,"oxidative phosphorylation modulation, target family unresolved",cytotoxic
JCP2022_RND0660,Levevmycin,RND-00660,kinase,0.437,"oxidative phosphorylation modulation, target family unresolved",pains
JCP2022_RND0745,Xhzqjvir,RND-00745,GPCR,0.278,"oxidative phosphorylation modulation, target family unresolved",none
JCP2022_RND0479,Kdwsdsastat,RND-00479,unknown,0.68,DNA damage response signature in nuclear texture features,cytotoxic
JCP2022_RND0241,Rqtsjwsstat,RND-00241,unknown,0.418,"proteasome stress signature, broad toxicity at high dose",none
JCP2022_RND0180,Pbpvugavir,RND-00180,epigenetic,0.178,DNA damage response signature in nuclear texture features,cytotoxic
JCP2022_RND0807,Nadyzunib,RND-00807,epigenetic,0.341,HDAC-like chromatin texture shift with low respiratory specificity,none
JCP2022_RND0482,Nptkfstat,RND-00482,kinase,0.783,DNA damage response signature in nuclear texture features,cytotoxic
JCP2022_RND0059,Vagdynxzdione,RND-00059,kinase,0.213,reported Complex III / cytochrome bc1 activity; not a Complex I call,cytotoxic
JCP2022_RND0080,Yuhqbfqwvir,RND-00080,unknown,0.762,"oxidative phosphorylation modulation, target family unresolved",none
JCP2022_RND0446,Zvehonsmycin,RND-00446,GPCR,0.199,"proteasome stress signature, broad toxicity at high dose",none
JCP2022_RND0252,Ndgutovir,RND-00252,mitochondrial,0.44,kinase-biased morphology; weak mitochondrial follow-up recommended,none
JCP2022_RND0320,Zosxrazole,RND-00320,epigenetic,0.339,microtubule morphology; rounded cells at high concentration,none
JCP2022_RND0528,Uxsdnyvir,RND-00528,unknown,0.174,"proteasome stress signature, broad toxicity at high dose",none
JCP2022_RND0784,Aojxldnsazole,RND-00784,epigenetic,0.836,reported Complex III / cytochrome bc1 activity; not a Complex I call,none
JCP2022_RND0003,Dozgvinxnib,RND-00003,unknown,0.249,microtubule morphology; rounded cells at high concentration,pains
JCP2022_RND0312,Khjheoasazole,RND-00312,GPCR,0.413,reported Complex III / cytochrome bc1 activity; not a Complex I call,cytotoxic
JCP2022_RND0084,Wuvweumstat,RND-00084,unknown,0.233,HDAC-like chromatin texture shift with low respiratory specificity,none
JCP2022_RND0330,Kljyjmycin,RND-00330,epigenetic,0.433,"proteasome stress signature, broad toxicity at high dose",none
JCP2022_RND0404,Jjjwyhvir,RND-00404,epigenetic,0.281,reported Complex III / cytochrome bc1 activity; not a Complex I call,none
JCP2022_RND0768,Xsupestat,RND-00768,kinase,0.372,DNA damage response signature in nuclear texture features,none
JCP2022_RND0243,Eudsclvir,RND-00243,unknown,0.349,"proteasome stress signature, broad toxicity at high dose",none
JCP2022_RND0413,Kcbpatwmycin,RND-00413,mitochondrial,0.164,kinase-biased morphology; weak mitochondrial follow-up recommended,none
JCP2022_RND0272,Ugckxnib,RND-00272,kinase,0.159,"uncurated vendor note, no target confidence assigned",none
JCP2022_RND0041,Clqabgtjnib,RND-00041,epigenetic,0.295,"proteasome stress signature, broad toxicity at high dose",cytotoxic
JCP2022_RND0014,Vhkzzzliazole,RND-00014,kinase,0.753,microtubule morphology; rounded cells at high concentration,none
JCP2022_RND0068,Dlgqfstat,RND-00068,mitochondrial,0.736,microtubule morphology; rounded cells at high concentration,cytotoxic
JCP2022_RND0462,Dhiutnmycin,RND-00462,mitochondrial,0.683,kinase-biased morphology; weak mitochondrial follow-up recommended,none
JCP2022_RND0087,Vdqpmhdione,RND-00087,kinase,0.532,"oxidative phosphorylation modulation, target family unresolved",none
JCP2022_RND0894,Crfuaazole,RND-00894,kinase,0.776,HDAC-like chromatin texture shift with low respiratory specificity,none
JCP2022_RND0044,Vqbhpmvir,RND-00044,mitochondrial,0.918,DNA damage response signature in nuclear texture features,none
JCP2022_RND0515,Udjrbazole,RND-00515,epigenetic,0.27,"proteasome stress signature, broad toxicity at high dose",none
JCP2022_RND0111,Qmvxwqexnib,RND-00111,epigenetic,0.539,"uncurated vendor note, no target confidence assigned",none
JCP2022_RND0596,Domoaszvir,RND-00596,GPCR,0.248,DNA damage response signature in nuclear texture features,pains
JCP2022_RND0442,Vhlaaozmycin,RND-00442,mitochondrial,0.289,"uncurated vendor note, no target confidence assigned",none
JCP2022_RND0765,Bzdnxaenxan,RND-00765,kinase,0.805,"oxidative phosphorylation modulation, target family unresolved",pains
JCP2022_RND0344,Ibyhzxan,RND-00344,mitochondrial,0.404,reported Complex III / cytochrome bc1 activity; not a Complex I call,none
JCP2022_RND0264,Zwnmexthmycin,RND-00264,epigenetic,0.34,DNA damage response signature in nuclear texture features,cytotoxic
JCP2022_RND0453,Bwostyynib,RND-00453,epigenetic,0.246,"oxidative phosphorylation modulation, target family unresolved",none
JCP2022_RND0262,Abmhgbfxan,RND-00262,kinase,0.34,microtubule morphology; rounded cells at high concentration,none
JCP2022_RND0739,Yeszkwnib,RND-00739,epigenetic,0.185,reported Complex III / cytochrome bc1 activity; not a Complex I call,none
JCP2022_RND0395,Ywtwbmycin,RND-00395,GPCR,0.311,"proteasome stress signature, broad toxicity at high dose",pains
JCP2022_RND0207,Sortvfmxan,RND-00207,epigenetic,0.615,"oxidative phosphorylation modulation, target family unresolved",pains
JCP2022_RND0489,Tdcftmqnmycin,RND-00489,mitochondrial,0.867,microtubule morphology; rounded cells at high concentration,cytotoxic
JCP2022_RND0789,Oddwjdjivir,RND-00789,GPCR,0.284,reported Complex III / cytochrome bc1 activity; not a Complex I call,pains
JCP2022_RND0093,Fudxtnib,RND-00093,epigenetic,0.847,"oxidative phosphorylation modulation, target family unresolved",none
JCP2022_RND0038,Airbisdfdione,RND-00038,mitochondrial,0.877,"proteasome stress signature, broad toxicity at high dose",none
JCP2022_RND0048,Iozqajwyvir,RND-00048,GPCR,0.914,"oxidative phosphorylation modulation, target family unresolved",none
JCP2022_RND0460,Vgzsyxmycin,RND-00460,kinase,0.748,"uncurated vendor note, no target confidence assigned",cytotoxic
JCP2022_RND0521,Autsmpbxan,RND-00521,kinase,0.342,DNA damage response signature in nuclear texture features,pains
JCP2022_RND0693,Jvziiazole,RND-00693,mitochondrial,0.57,"proteasome stress signature, broad toxicity at high dose",none
JCP2022_RND0018,Npfnclivir,RND-00018,epigenetic,0.478,"proteasome stress signature, broad toxicity at high dose",none
JCP2022_RND0315,Ezaumjrbvir,RND-00315,GPCR,0.881,reported Complex III / cytochrome bc1 activity; not a Complex I call,none
JCP2022_RND0609,Xxqypavir,RND-00609,unknown,0.52,DNA damage response signature in nuclear texture features,none
JCP2022_RND0380,Kqsqmazole,RND-00380,kinase,0.649,HDAC-like chromatin texture shift with low respiratory specificity,none
JCP2022_RND0139,Tlgeiwulxan,RND-00139,unknown,0.377,microtubule morphology; rounded cells at high concentration,none
JCP2022_RND0896,Uuzotxan,RND-00896,kinase,0.66,"uncurated vendor note, no target confidence assigned",none
JCP2022_RND0525,Auoasoazole,RND-00525,unknown,0.416,"proteasome stress signature, broad toxicity at high dose",pains
JCP2022_RND0327,Ofcoowzmycin,RND-00327,unknown,0.218,"proteasome stress signature, broad toxicity at high dose",cytotoxic
JCP2022_RND0306,Qmwkpstat,RND-00306,unknown,0.735,kinase-biased morphology; weak mitochondrial follow-up recommended,none
JCP2022_RND0074,Pnqqwxnbnib,RND-00074,mitochondrial,0.254,"uncurated vendor note, no target confidence assigned",cytotoxic
JCP2022_RND0699,Wjucyqdione,RND-00699,mitochondrial,0.358,DNA damage response signature in nuclear texture features,none
JCP2022_RND0104,Slratdione,RND-00104,epigenetic,0.494,HDAC-like chromatin texture shift with low respiratory specificity,none
JCP2022_RND0238,Prfpavmtmycin,RND-00238,kinase,0.165,microtubule morphology; rounded cells at high concentration,none
JCP2022_RND0557,Nlknfjkqstat,RND-00557,unknown,0.828,"oxidative phosphorylation modulation, target family unresolved",none
JCP2022_SYN003,Ndufexor,SYN-SYN003,synthetic annotation,0.79,Weak but specific NADH dehydrogenase signature; Complex I rescue evidence present.,none
JCP2022_RND0090,Ttxcwdejxan,RND-00090,GPCR,0.318,microtubule morphology; rounded cells at high concentration,cytotoxic
JCP2022_RND0450,Vfbtanvir,RND-00450,GPCR,0.153,DNA damage response signature in nuclear texture features,none
JCP2022_RND0127,Auygugzomycin,RND-00127,epigenetic,0.301,DNA damage response signature in nuclear texture features,pains
JCP2022_RND0683,Ubjpfazole,RND-00683,epigenetic,0.234,HDAC-like chromatin texture shift with low respiratory specificity,none
JCP2022_RND0448,Pltjfgejdione,RND-00448,GPCR,0.646,microtubule morphology; rounded cells at high concentration,none
JCP2022_RND0855,Lpakkyunib,RND-00855,kinase,0.85,"uncurated vendor note, no target confidence assigned",pains
JCP2022_RND0757,Uqafbbstat,RND-00757,mitochondrial,0.246,"oxidative phosphorylation modulation, target family unresolved",cytotoxic
JCP2022_RND0203,Izqquvhexan,RND-00203,mitochondrial,0.699,HDAC-like chromatin texture shift with low respiratory specificity,cytotoxic
JCP2022_RND0396,Uuftgstat,RND-00396,epigenetic,0.801,kinase-biased morphology; weak mitochondrial follow-up recommended,pains
JCP2022_RND0877,Efciufvir,RND-00877,epigenetic,0.897,"uncurated vendor note, no target confidence assigned",none
JCP2022_RND0017,Gyzekaxan,RND-00017,kinase,0.475,"oxidative phosphorylation modulation, target family unresolved",pains
JCP2022_RND0285,Aeinrrpxan,RND-00285,mitochondrial,0.638,kinase-biased morphology; weak mitochondrial follow-up recommended,none
JCP2022_RND0872,Sobuvrutstat,RND-00872,kinase,0.553,microtubule morphology; rounded cells at high concentration,pains
JCP2022_RND0379,Azohsqbvir,RND-00379,unknown,0.413,"oxidative phosphorylation modulation, target family unresolved",cytotoxic
JCP2022_RND0174,Uqrbujhamycin,RND-00174,unknown,0.439,"proteasome stress signature, broad toxicity at high dose",none
JCP2022_RND0248,Oivkmsazole,RND-00248,mitochondrial,0.869,reported Complex III / cytochrome bc1 activity; not a Complex I call,none
JCP2022_RND0844,Mhnonnib,RND-00844,unknown,0.82,HDAC-like chromatin texture shift with low respiratory specificity,cytotoxic
JCP2022_RND0125,Obmbzixan,RND-00125,epigenetic,0.82,"oxidative phosphorylation modulation, target family unresolved",none
JCP2022_RND0410,Hjlttddione,RND-00410,unknown,0.809,microtubule morphology; rounded cells at high concentration,pains
